epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8400896,0.07694399,0.20175292,0.062429894,10.0,-23.951906,0.1,50.0,0.14
1,0.8396682,0.0767206,0.20168726,0.06245183,20.0,-22.847433,0.0,100.0,0.06
2,0.83979267,0.076530986,0.20179707,0.062039558,30.0,-28.591389,0.0,150.0,0.02
3,0.839564,0.07653504,0.20170446,0.06178912,40.0,-23.294327,0.2,200.0,0.16
4,0.83978087,0.07631881,0.20173013,0.06129798,50.0,-18.702253,0.1,250.0,0.08
5,0.8396211,0.0761227,0.20170449,0.060941327,60.0,-27.582,0.0,300.0,0.04
6,0.83982223,0.07687819,0.20174988,0.062016744,70.0,-31.1359,0.0,350.0,0.02
7,0.8394945,0.07725429,0.20159744,0.0625895,80.0,-26.669397,0.0,400.0,0.08
8,0.83966726,0.0774193,0.20165749,0.06282657,90.0,-29.0115,0.1,450.0,0.1
9,0.8398773,0.077324845,0.20167044,0.062835805,100.0,-22.785076,0.2,500.0,0.1
10,0.8397405,0.07769996,0.20168228,0.063491374,110.0,-24.419777,0.2,550.0,0.08
11,0.83941007,0.0775091,0.20163399,0.063994944,120.0,-28.266897,0.1,600.0,0.06
12,0.83947533,0.07851567,0.20160393,0.06500895,130.0,-25.34814,0.1,650.0,0.08
13,0.8394701,0.078352354,0.20158583,0.06515379,140.0,-28.027094,0.1,700.0,0.06
14,0.8393252,0.078774996,0.20152834,0.06564003,150.0,-24.998455,0.1,750.0,0.02
15,0.83899385,0.08059712,0.20144038,0.066736676,160.0,-26.552755,0.1,800.0,0.08
16,0.8390257,0.08044054,0.20145872,0.06649985,170.0,-23.937387,0.3,850.0,0.08
17,0.8388553,0.08033176,0.20136376,0.06637773,180.0,-29.733978,0.0,900.0,0.02
18,0.8389685,0.080118075,0.20142521,0.06639337,190.0,-29.293573,0.0,950.0,0.04
19,0.838806,0.07988327,0.20139647,0.06648121,200.0,-30.93546,0.0,1000.0,0.14
